JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459969.7416,2.372,0.009,,B,CTOA,,SAO 112958,SAO 113186,PEP,|SCOPE=9.25IN_SCT|SENSOR=SSP3|LOC=44N/121W|INDEX=BV|DELTA=0.890|K_B=0.36|KK_B=-0.041|TB_BV=0.098|CREFMAG=5.039|PROG=TJC_PEP_20221030|COMMENT=16 BIT OVERFLOWS CORRECTED;POOR CONDITIONS|,1,1.24,Z,-2.863,-0.626,,ALF ORI,AAVSO,STD,,,,
2459969.7421,0.525,0.008,,V,CTOA,,SAO 112958,SAO 113186,PEP,|SCOPE=9.25IN_SCT|SENSOR=SSP3|LOC=44N/121W|INDEX=BV|DELTA=0.890|K_V=0.16|TV_BV=-0.031|CREFMAG=4.082|PROG=TJC_PEP_20221030|COMMENT=16 BIT OVERFLOWS CORRECTED; POOR CONDITIONS|,1,1.24,Z,-3.695,-1.790,,ALF ORI,AAVSO,STD,,,,
2459970.07569,0.6,,,Vis.,SANG,K,0.4,0.9,stellarium,,,,Z,,,,alf ori,AAVSO,STD,,,,
2459970.187,0.3,,,Vis.,MQA,BU,0.1,0.9,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459970.19097,0.36,,,Vis.,BCAD,U,0.1,0.9,10 star tutorial,Observation from Kostanay/ Kazakhstan.,,,Z,,,,Betelgeuse,,STD,,,,
2459970.23194,0.7,,,Vis.,KSQ,B,04,09,10STAR,,,,Z,,,,ALP ORI,AAVSO,STD,,,,
2459970.29167,0.35,,,Vis.,SGQ,BU,bet Ori mv=0.13,zet Ori mv=1.85,Tirion2000.0/Simbad,"""Roma, via Germanico. Naked eye with airmass correction.""",,,Z,,,,alf Ori,AAVSO,STD,,,,
2459970.437,0.3,,,Vis.,MQA,,0.1,0.9,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459970.478,0.4,,,Vis.,AAX,KZ,4,9,ATLAS,BSC,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2459970.57153,0.4,,,Vis.,CKB,,01,09,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459971.0465,0.3,,,Vis.,SRX,,01,04,n/a,,,,Z,,,,Alf Ori,AAVSO,STD,,,,
2459971.194,0.4,,,Vis.,MQA,BU,0.1,0.9,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459971.21528,0.34,,,Vis.,BCAD,U,0.1,0.9,10 star tutorial,Observation from Kostanay/ Kazakhstan.,,,Z,,,,Betelgeuse,,STD,,,,
2459971.22778,0.7,,,Vis.,KSQ,B,04,09,10STAR,,,,Z,,,,ALP ORI,AAVSO,STD,,,,
2459971.22917,0.45,,,Vis.,MFB,,01,08,10startutorial,,,,Z,,,,alf ori,UAI,STD,,,,
2459971.26181,0.5,,,Vis.,REE,B,0.4,0.9,10 star,,,,Z,,,,alpha ori,AAVSO,STD,,,,
2459971.26875,0.37,,,Vis.,SGQ,U,bet Ori mv=0.13,zet Ori mv=1.85,Tirion2000.0/Simbad,"""Roma, via Germanico. Naked eye with airmass correction.""",,,Z,,,,alf Ori,AAVSO,STD,,,,
2459971.3,0.5,,,Vis.,SPAO,U,03,09,2008,Clouds,,,Z,,,,ALF Ori,UAI,STD,,,,
2459971.3042,0.3,,,Vis.,LCR,,01,"""09,12""",TYCHO2,,,,Z,,,,Alf Ori,AASABADELL,STD,,,,
2459971.33403,0.3,,,Vis.,TCGA,B,01,21,aavso beginners char,,,,Z,,,,alp ori,BAA-VSS,STD,,,,
2459971.479,0.4,,,Vis.,MQA,,0.1,0.9,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459971.518,0.4,,,Vis.,AAX,K,4,9,ATLAS,BSC,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2459971.5680,-3.102,0.008,,J,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2459971.5680,-3.907,0.010,,H,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2459971.58333,0.6,,,Vis.,CLQ,B,0.1,0.9,10 Star Tutorial,5-day old moon. Naked eye.,,,Z,,,,Alpha Ori,AAVSO,STD,,,,
2459971.62292,0.6,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459971.9993,0.4,,,Vis.,SRX,,04,,n/a,,,,Z,,,,Alf Ori,AAVSO,STD,,,,
2459972.17569,0.6,,,Vis.,KSQ,B,04,09,10STAR,,,,Z,,,,ALP ORI,AAVSO,STD,,,,
2459972.180,0.3,,,Vis.,MQA,BU,0.1,0.9,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2459972.22847,0.2,,,Vis.,MVO,,01,04,080101,,,,Z,,,,alf ori,URSA,STD,,,,
2459972.4319,0.6,,,Vis.,HGUA,,04,09,10STAR TUTORIAL,,,,Z,,,,ALF ORI,SAAF,STD,,,,
2459972.489,0.4,,,Vis.,AAX,BK,4,9,ATLAS,MOON BSC,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2459972.66667,0.6,,,Vis.,CLK,B,4,09,10 Star Tutorial ,,,,Z,,,,alf ori,AAVSO,STD,,,,
2459972.99,0.25,,,Vis.,ERW,K,0.18  beta Ori,0.40 alpha CMi,Skymap,Naked eye.,,,Z,,,,alpha Ori,RASNZ-VSS,STD,,,,
2459973.36458,0.33,,,Vis.,SGQ,B,bet Ori mv=0.13,,Tirion2000.0/Simbad,"""Roma, via della Giuliana. Naked eye with airmass correction""",,,Z,,,,alf Ori,AAVSO,STD,,,,
